"","A","B","lat","long","type"
"1665","species A","not species B",42.17806111,2.19333889,"A"
"1666","species A","species B",42.19371111,2.23183889,"AB"
"1667","species A","not species B",42.22265,2.29136944,"A"
"1668","species A","species B",42.25648889,-7.83891111,"AB"
"1669","species A","species B",42.25768056,2.3609,"AB"
"1670","species A","species B",42.33904167,-3.60403889,"AB"
"1671","species A","not species B",42.34405,2.40933889,"A"
"1672","species A","species B",42.41043611,-2.62240833,"AB"
"1673","species A","species B",42.47607778,-7.33875833,"AB"
"1674","species A","species B",42.61408333,-6.38111667,"AB"
"1675","species A","species B",42.77058333,-1.60359722,"AB"
"1676","species A","species B",42.78649444,-5.7569,"AB"
"1677","species A","species B",43.11307222,-2.644325,"AB"
"1678","species A","species B",43.34398056,-3.82014444,"AB"
"1679","species A","species B",43.40358889,-4.68251667,"AB"
"1680","species A","species B",43.47741944,-5.65741389,"AB"
"1745","species A","species B",46.12956111,7.06292222,"AB"
"1747","species A","species B",46.225754,7.28197,"AB"
"1748","species A","species B",46.294131,7.533536,"AB"
"1749","species A","species B",46.383277,6.234801,"AB"
"1750","not species A","species B",46.383277,6.234801,"B"
"1751","not species A","species B",47.00571,9.530813,"B"
"1752","species A","species B",47.058125,7.073063,"AB"
"1753","not species A","species B",47.14105,8.429825,"B"
"1754","not species A","species B",47.165536,9.470861,"B"
"1755","not species A","species B",47.19465,8.293481,"B"
"1756","not species A","species B",47.229687,8.671819,"B"
"1757","not species A","species B",47.413382,7.811735,"B"
"1758","not species A","species B",47.425506,9.613516,"B"
"1759","not species A","species B",47.455094,8.287015,"B"
"1760","not species A","species B",47.492201,7.816898,"B"
"1761","not species A","species B",47.525601,8.822691,"B"
"1762","not species A","species B",47.661715,9.067202,"B"
"1764","species A","species B",46.09871389,7.05870833,"AB"
"1765","species A","species B",46.20957778,7.30038333,"AB"
"1766","species A","species B",46.20957778,7.30038333,"AB"
"1767","species A","species B",46.31577222,7.64927778,"AB"
"1768","species A","species B",46.32125278,8.01043611,"AB"
"1769","not species A","species B",46.77770556,6.505025,"B"
"1770","not species A","species B",46.95363056,7.53140278,"B"
"1771","species A","species B",47.06736389,7.06183611,"AB"
"1772","not species A","species B",47.23854167,7.56246111,"B"
"1773","not species A","species B",46.117028,7.131196,"B"
"1774","not species A","species B",46.117028,7.131196,"B"
"1775","species A","species B",46.117028,7.131196,"AB"
"1776","species A","species B",46.12956111,7.06292222,"AB"
"1777","species A","species B",46.13659167,7.14681667,"AB"
"1778","not species A","species B",46.151778,8.946221,"B"
"1779","not species A","species B",46.151778,8.946221,"B"
"1780","species A","species B",46.199569,7.312692,"AB"
"1781","species A","species B",46.199569,7.312692,"AB"
"1782","species A","species B",46.199569,7.312692,"AB"
"1783","species A","species B",46.20971667,7.303925,"AB"
"1784","not species A","species B",46.209717,7.303925,"B"
"1785","not species A","species B",46.209717,7.303925,"B"
"1786","not species A","species B",46.209717,7.303925,"B"
"1787","not species A","species B",46.209717,7.303925,"B"
"1788","not species A","species B",46.209717,7.303925,"B"
"1789","not species A","species B",46.209717,7.303925,"B"
"1790","species A","species B",46.209717,7.303925,"AB"
"1791","species A","species B",46.209717,7.303925,"AB"
"1792","species A","species B",46.209717,7.303925,"AB"
"1793","species A","species B",46.209717,7.303925,"AB"
"1794","species A","species B",46.209717,7.303925,"AB"
"1795","not species A","species B",46.211667,7.305867,"B"
"1796","species A","species B",46.211667,7.305867,"AB"
"1797","not species A","species B",46.211667,7.305867,"B"
"1798","species A","species B",46.211667,7.305867,"AB"
"1799","species A","species B",46.21190833,7.30529444,"AB"
"1800","species A","species B",46.230269,7.277014,"AB"
"1801","species A","species B",46.230269,7.277014,"AB"
"1802","species A","species B",46.230269,7.277014,"AB"
"1803","species A","species B",46.230269,7.277014,"AB"
"1804","species A","species B",46.230269,7.277014,"AB"
"1805","species A","species B",46.230269,7.277014,"AB"
"1806","species A","species B",46.232307,7.412062,"AB"
"1807","species A","species B",46.251122,7.302524,"AB"
"1808","species A","species B",46.31689,7.643832,"AB"
"1809","species A","species B",46.31689,7.643832,"AB"
"1810","species A","species B",46.31689,7.643832,"AB"
"1811","species A","species B",46.31689,7.643832,"AB"
"1812","species A","species B",46.31689,7.643832,"AB"
"1813","not species A","species B",46.358001,8.970465,"B"
"1814","not species A","species B",46.40081944,6.22625,"B"
"1815","species A","species B",46.41093333,6.19261944,"AB"
"1816","not species A","species B",46.753575,6.53755,"B"
"1824","not species A","species B",36.62733333,33.87411111,"B"
"1825","not species A","species B",36.62733333,33.87411111,"B"
"1826","not species A","species B",36.62733333,33.87411111,"B"
"1827","not species A","species B",37.54758333,34.94552778,"B"
"1828","not species A","species B",39.89572222,29.22183333,"B"
"1829","not species A","species B",39.94097222,28.92763889,"B"
"1830","not species A","species B",40.03652778,28.89636111,"B"
"1831","not species A","species B",40.11325,29.08908333,"B"
"1832","not species A","species B",40.11666667,29.08425,"B"
"1833","not species A","species B",40.11666667,29.08425,"B"
"1834","not species A","species B",40.19177778,28.98538889,"B"
"1835","not species A","species B",40.642,29.27966667,"B"
"1843","not species A","species B",36.54138889,33.935,"B"
"1844","not species A","species B",36.54138889,33.935,"B"
"1845","not species A","species B",36.62527778,33.87305556,"B"
"1846","not species A","species B",36.62527778,33.87305556,"B"
"1847","not species A","species B",36.69388889,33.60972222,"B"
"1848","not species A","species B",36.69388889,33.60972222,"B"
"1849","not species A","species B",36.70261944,33.90832222,"B"
"1850","not species A","species B",36.70277778,33.90833333,"B"
"1851","not species A","species B",36.70277778,33.90833333,"B"
"1852","not species A","species B",36.71527778,33.90277778,"B"
"1853","not species A","species B",36.71583333,33.90361111,"B"
"1854","not species A","species B",36.7225,33.90277778,"B"
"1856","not species A","species B",36.90555556,33.90277778,"B"
"1857","not species A","species B",37.39725,34.85869444,"B"
"1858","not species A","species B",37.39775,34.85541667,"B"
"1859","not species A","species B",37.43222222,34.92366667,"B"
"1860","not species A","species B",37.54764,34.946551,"B"
"1864","not species A","species B",39.89572222,29.22183333,"B"
"1865","not species A","species B",39.93827778,28.94763889,"B"
"1866","not species A","species B",40.11325,29.08908333,"B"
"1867","not species A","species B",40.62055556,42.01166667,"B"
"1868","not species A","species B",40.630135,29.272639,"B"
